date,data
2019-01-01 02:00:00,"2.024.628.367.653.400.000,00"
2019-01-01 03:00:00,"1.934.778.692.434.440.000,00"
2019-01-01 04:00:00,"1.886.605.181.199.660.000,00"
2019-01-01 05:00:00,"1.873.347.849.102.940.000,00"
2019-01-01 06:00:00,"1.873.639.819.075.940.000,00"
2019-01-01 07:00:00,"1.902.187.893.931.350.000,00"
2019-01-01 08:00:00,"1.942.902.316.947.290.000,00"
2019-01-01 09:00:00,"1.991.552.817.767.010.000,00"
2019-01-01 10:00:00,"2.039.356.019.017.500.000,00"
2019-01-01 11:00:00,"210.657.761.518.893.000,00"
2019-01-01 12:00:00,"2.173.086.660.220.700.000,00"
2019-01-01 13:00:00,"224.553.943.772.277.000,00"
2019-01-01 14:00:00,"2.331.531.047.892.100.000,00"
2019-01-01 15:00:00,"2.433.619.183.793.520.000,00"
2019-01-01 16:00:00,"256.050.870.228.177.000,00"
2019-01-01 17:00:00,"2.698.565.824.039.940.000,00"
2019-01-01 18:00:00,"2.770.012.275.359.970.000,00"
2019-01-01 19:00:00,"273.371.196.901.763.000,00"
2019-01-01 20:00:00,"26.566.191.704.084.600,00"
2019-01-01 21:00:00,"2.557.412.015.498.660.000,00"
2019-01-01 22:00:00,"2.417.514.444.995.740.000,00"
2019-01-01 23:00:00,"2.293.139.749.174.400.000,00"
2019-01-02 00:00:00,"221.043.508.010.133.000,00"
2019-01-02 01:00:00,"2.092.829.755.486.890.000,00"
2019-01-02 02:00:00,"197.672.029.187.165.000,00"
2019-01-02 03:00:00,"1.911.817.217.071.540.000,00"
2019-01-02 04:00:00,"189.534.144.626.171.000,00"
2019-01-02 05:00:00,"1.943.394.739.875.470.000,00"
2019-01-02 06:00:00,"204.474.622.696.094.000,00"
2019-01-02 07:00:00,"2.183.700.197.442.960.000,00"
2019-01-02 08:00:00,"2.286.879.136.773.610.000,00"
2019-01-02 09:00:00,"2.359.432.005.373.060.000,00"
2019-01-02 10:00:00,"239.162.397.379.558.000,00"
2019-01-02 11:00:00,"243.864.007.454.083.000,00"
2019-01-02 12:00:00,"2.480.240.425.610.840.000,00"
2019-01-02 13:00:00,"253.330.224.524.661.000,00"
2019-01-02 14:00:00,"2.617.980.306.424.630.000,00"
2019-01-02 15:00:00,"2.718.319.420.345.630.000,00"
2019-01-02 16:00:00,"2.770.803.166.510.930.000,00"
2019-01-02 17:00:00,"282.579.045.365.948.000,00"
2019-01-02 18:00:00,"283.477.762.336.602.000,00"
2019-01-02 19:00:00,"2.779.404.773.396.880.000,00"
2019-01-02 20:00:00,"2.716.935.293.141.360.000,00"
2019-01-02 21:00:00,"2.614.359.607.999.110.000,00"
2019-01-02 22:00:00,"2.465.829.022.402.950.000,00"
2019-01-02 23:00:00,"2.331.296.208.365.140.000,00"
2019-01-03 00:00:00,"2.253.456.923.311.870.000,00"
2019-01-03 01:00:00,"212.577.299.378.737.000,00"
2019-01-03 02:00:00,"201.252.781.427.194.000,00"
2019-01-03 03:00:00,"1.946.696.843.554.570.000,00"
2019-01-03 04:00:00,"193.084.941.739.759.000,00"
2019-01-03 05:00:00,"197.182.034.077.312.000,00"
2019-01-03 06:00:00,"2.075.323.199.804.880.000,00"
2019-01-03 07:00:00,"2.213.758.573.852.640.000,00"
2019-01-03 08:00:00,"232.600.112.757.828.000,00"
2019-01-03 09:00:00,"2.386.351.817.389.910.000,00"
2019-01-03 10:00:00,"2.438.383.393.674.310.000,00"
2019-01-03 11:00:00,"247.985.125.265.147.000,00"
2019-01-03 12:00:00,"2.552.718.835.098.160.000,00"
2019-01-03 13:00:00,"260.623.670.551.401.000,00"
2019-01-03 14:00:00,"2.697.359.225.409.670.000,00"
2019-01-03 15:00:00,"2.819.670.275.656.820.000,00"
2019-01-03 16:00:00,"294.624.174.091.947.000,00"
2019-01-03 17:00:00,"3.028.710.758.184.360.000,00"
2019-01-03 18:00:00,"3.054.697.710.343.140.000,00"
2019-01-03 19:00:00,"3.034.127.229.887.350.000,00"
2019-01-03 20:00:00,"297.609.596.398.173.000,00"
2019-01-03 21:00:00,"2.835.957.236.208.990.000,00"
2019-01-03 22:00:00,"2.662.160.823.673.280.000,00"
2019-01-03 23:00:00,"249.157.752.489.599.000,00"
2019-01-04 00:00:00,"2.386.663.823.633.070.000,00"
2019-01-04 01:00:00,"2.233.061.263.826.000.000,00"
2019-01-04 02:00:00,"2.095.448.189.136.490.000,00"
2019-01-04 03:00:00,"20.183.898.673.525.700,00"
2019-01-04 04:00:00,"199.759.826.589.714.000,00"
2019-01-04 05:00:00,"202.818.065.394.923.000,00"
2019-01-04 06:00:00,"212.636.704.212.191.000,00"
2019-01-04 07:00:00,"2.283.784.345.313.360.000,00"
2019-01-04 08:00:00,"2.418.667.794.079.160.000,00"
2019-01-04 09:00:00,"254.212.578.541.343.000,00"
2019-01-04 10:00:00,"2.627.882.736.562.740.000,00"
2019-01-04 11:00:00,"2.695.117.058.473.330.000,00"
2019-01-04 12:00:00,"2.787.533.181.343.600.000,00"
2019-01-04 13:00:00,"2.898.303.700.985.930.000,00"
2019-01-04 14:00:00,"299.729.596.238.547.000,00"
2019-01-04 15:00:00,"3.103.412.742.393.360.000,00"
2019-01-04 16:00:00,"3.148.187.849.497.370.000,00"
2019-01-04 17:00:00,"3.138.980.280.818.940.000,00"
2019-01-04 18:00:00,"3.048.533.398.394.020.000,00"
2019-01-04 19:00:00,"292.955.549.901.938.000,00"
2019-01-04 20:00:00,"2.855.086.459.014.480.000,00"
2019-01-04 21:00:00,"273.739.385.929.529.000,00"
2019-01-04 22:00:00,"2.574.987.344.324.240.000,00"
2019-01-04 23:00:00,"242.811.119.507.272.000,00"
2019-01-05 00:00:00,"2.330.022.461.153.750.000,00"
2019-01-05 01:00:00,"2.175.223.501.358.440.000,00"
2019-01-05 02:00:00,"2.040.162.072.751.290.000,00"
2019-01-05 03:00:00,"197.084.668.634.696.000,00"
2019-01-05 04:00:00,"1.947.500.640.951.620.000,00"
2019-01-05 05:00:00,"1.946.456.498.565.980.000,00"
2019-01-05 06:00:00,"1.981.375.295.054.660.000,00"
2019-01-05 07:00:00,"2.067.940.105.007.140.000,00"
2019-01-05 08:00:00,"218.856.594.247.664.000,00"
2019-01-05 09:00:00,"2.323.339.823.530.790.000,00"
2019-01-05 10:00:00,"2.404.170.469.568.560.000,00"
2019-01-05 11:00:00,"246.626.557.843.366.000,00"
2019-01-05 12:00:00,"2.489.323.173.741.310.000,00"
2019-01-05 13:00:00,"2.491.382.487.148.960.000,00"
2019-01-05 14:00:00,"2.452.218.347.974.160.000,00"
2019-01-05 15:00:00,"241.872.474.401.825.000,00"
2019-01-05 16:00:00,"2.444.255.374.636.550.000,00"
2019-01-05 17:00:00,"248.575.626.638.346.000,00"
2019-01-05 18:00:00,"2.491.921.119.853.390.000,00"
2019-01-05 19:00:00,"2.471.887.647.539.580.000,00"
2019-01-05 20:00:00,"2.456.757.555.956.130.000,00"
2019-01-05 21:00:00,"2.397.653.808.075.530.000,00"
2019-01-05 22:00:00,"2.303.264.744.367.660.000,00"
2019-01-05 23:00:00,"221.841.420.880.993.000,00"
2019-01-06 00:00:00,"2.159.820.754.044.410.000,00"
2019-01-06 01:00:00,"2.059.365.393.655.020.000,00"
2019-01-06 02:00:00,"1.951.329.554.130.670.000,00"
2019-01-06 03:00:00,"1.893.662.551.226.910.000,00"
2019-01-06 04:00:00,"187.528.802.793.120.000,00"
2019-01-06 05:00:00,"1.874.490.548.277.000.000,00"
2019-01-06 06:00:00,"188.727.305.687.204.000,00"
2019-01-06 07:00:00,"1.922.952.509.599.470.000,00"
2019-01-06 08:00:00,"1.968.008.936.767.100.000,00"
2019-01-06 09:00:00,"2.005.202.571.947.980.000,00"
2019-01-06 10:00:00,"2.024.899.218.314.590.000,00"
2019-01-06 11:00:00,"202.197.410.337.651.000,00"
2019-01-06 12:00:00,"1.999.556.946.686.590.000,00"
2019-01-06 13:00:00,"2.008.546.733.743.740.000,00"
2019-01-06 14:00:00,"202.555.481.951.515.000,00"
2019-01-06 15:00:00,"207.883.568.432.077.000,00"
2019-01-06 16:00:00,"2.169.574.265.958.270.000,00"
2019-01-06 17:00:00,"2.288.510.829.244.000.000,00"
2019-01-06 18:00:00,"238.469.097.304.895.000,00"
2019-01-06 19:00:00,"2.420.295.786.157.320.000,00"
2019-01-06 20:00:00,"2.418.861.478.024.150.000,00"
2019-01-06 21:00:00,"236.767.160.559.389.000,00"
2019-01-06 22:00:00,"2.269.137.922.071.570.000,00"
2019-01-06 23:00:00,"217.439.795.287.529.000,00"
2019-01-07 00:00:00,"2.110.866.911.314.580.000,00"
2019-01-07 01:00:00,"202.224.892.519.034.000,00"
2019-01-07 02:00:00,"1.926.248.115.028.780.000,00"
2019-01-07 03:00:00,"187.252.455.695.653.000,00"
2019-01-07 04:00:00,"187.124.855.340.841.000,00"
2019-01-07 05:00:00,"1.941.883.716.293.450.000,00"
2019-01-07 06:00:00,"2.081.875.060.150.910.000,00"
2019-01-07 07:00:00,"224.299.194.329.999.000,00"
2019-01-07 08:00:00,"2.353.656.054.102.090.000,00"
2019-01-07 09:00:00,"2.415.041.138.924.680.000,00"
2019-01-07 10:00:00,"2.401.687.686.883.220.000,00"
2019-01-07 11:00:00,"2.386.317.791.832.000.000,00"
2019-01-07 12:00:00,"2.387.809.320.664.670.000,00"
2019-01-07 13:00:00,"243.004.767.350.874.000,00"
2019-01-07 14:00:00,"2.484.668.712.079.110.000,00"
2019-01-07 15:00:00,"2.517.100.213.209.000.000,00"
2019-01-07 16:00:00,"2.574.930.213.878.210.000,00"
2019-01-07 17:00:00,"2.627.827.501.439.560.000,00"
2019-01-07 18:00:00,"261.872.995.174.014.000,00"
2019-01-07 19:00:00,"2.591.193.798.781.850.000,00"
2019-01-07 20:00:00,"257.247.062.633.447.000,00"
2019-01-07 21:00:00,"24.994.552.087.051.700,00"
2019-01-07 22:00:00,"2.397.281.783.275.320.000,00"
2019-01-07 23:00:00,"2.308.302.963.781.060.000,00"
2019-01-08 00:00:00,"224.829.956.931.907.000,00"
2019-01-08 01:00:00,"2.138.093.946.140.710.000,00"
2019-01-08 02:00:00,"203.055.594.475.269.000,00"
2019-01-08 03:00:00,"196.836.634.050.529.000,00"
2019-01-08 04:00:00,"196.530.241.573.152.000,00"
2019-01-08 05:00:00,"2.027.682.184.038.610.000,00"
2019-01-08 06:00:00,"2.161.911.656.166.300.000,00"
2019-01-08 07:00:00,"2.326.971.081.612.200.000,00"
2019-01-08 08:00:00,"2.435.761.440.139.410.000,00"
2019-01-08 09:00:00,"2.480.226.436.323.100.000,00"
2019-01-08 10:00:00,"2.470.506.859.713.670.000,00"
2019-01-08 11:00:00,"245.299.371.552.840.000,00"
2019-01-08 12:00:00,"2.475.485.421.583.910.000,00"
2019-01-08 13:00:00,"2.523.879.963.564.860.000,00"
2019-01-08 14:00:00,"2.578.897.575.879.080.000,00"
2019-01-08 15:00:00,"2.640.988.623.338.070.000,00"
2019-01-08 16:00:00,"273.260.167.083.904.000,00"
2019-01-08 17:00:00,"2.769.280.770.991.780.000,00"
2019-01-08 18:00:00,"2.760.163.726.543.000.000,00"
2019-01-08 19:00:00,"2.718.820.146.592.980.000,00"
2019-01-08 20:00:00,"267.213.617.861.454.000,00"
2019-01-08 21:00:00,"2.574.888.246.015.010.000,00"
2019-01-08 22:00:00,"2.427.739.892.300.260.000,00"
2019-01-08 23:00:00,"2.307.591.766.443.450.000,00"
2019-01-09 00:00:00,"2.234.452.791.814.750.000,00"
2019-01-09 01:00:00,"211.853.601.935.633.000,00"
2019-01-09 02:00:00,"1.998.865.695.365.680.000,00"
